marker_id	identifier_type	identifier	reference_status	reference_name	catalog_interpretation	audit_status	notes
ndo_nah	KO	K14581	EXISTS	nahAa, nagAa, ndoR, nbzAa, dntAa; naphthalene 1,2-dioxygenase ferredoxin reductase component [EC:1.18.1.7]	Naphthalene / PAH Dioxygenase (ndoABC / nahAcAb / phnAc)	REVIEW	embedded ECs: 1.18.1.7; KO/EC contradiction
catA_xylE	KO	K03381	EXISTS	catA; catechol 1,2-dioxygenase [EC:1.13.11.1]	Central Ring-Cleavage Dioxygenases (catA / xylE)	PASS	embedded ECs: 1.13.11.1
catA_xylE	KO	K00446	EXISTS	dmpB, xylE; catechol 2,3-dioxygenase [EC:1.13.11.2]	Central Ring-Cleavage Dioxygenases (catA / xylE)	PASS	embedded ECs: 1.13.11.2
dszC	KO	K22219	EXISTS	dszC; dibenzothiophene monooxygenase [EC:1.14.14.21]	Dibenzothiophene Monooxygenase (dszC / Biodesulfurization)	PASS	embedded ECs: 1.14.14.21
pcaGH	KO	K00448	EXISTS	pcaG; protocatechuate 3,4-dioxygenase, alpha subunit [EC:1.13.11.3]	Protocatechuate 3,4-Dioxygenase (pcaG / pcaH)	PASS	embedded ECs: 1.13.11.3
pcaGH	KO	K00449	EXISTS	pcaH; protocatechuate 3,4-dioxygenase, beta subunit [EC:1.13.11.3]	Protocatechuate 3,4-Dioxygenase (pcaG / pcaH)	PASS	embedded ECs: 1.13.11.3
bssABC	KO	K07540	EXISTS	bssA; benzylsuccinate synthase alpha subunit [EC:4.1.99.11]	Benzylsuccinate Synthase (bssA / bssB / bssC)	PASS	embedded ECs: 4.1.99.11
ncrA	KO	K27540	ABSENT	N/A	Naphthalene Carboxylase (ncrA)	MISSING_FROM_REFERENCE	KO identifier not present in KEGG snapshot
rhlRI	KO	K13060	EXISTS	lasI; acyl homoserine lactone synthase [EC:2.3.1.184]	Rhamnolipid Quorum Sensing Regulators (rhlR / rhlI)	PASS	embedded ECs: 2.3.1.184
rhlRI	KO	K13061	EXISTS	rhlI, phzI, solI, cepI, tofI; acyl homoserine lactone synthase [EC:2.3.1.184]	Rhamnolipid Quorum Sensing Regulators (rhlR / rhlI)	PASS	embedded ECs: 2.3.1.184
trehalolipid	KO	K00697	EXISTS	otsA; trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]	Trehalolipid Biosynthesis (sdtA / otsA / otsB)	REVIEW	embedded ECs: 2.4.1.15, 2.4.1.347; KO/EC contradiction
trehalolipid	KO	K01087	EXISTS	otsB; trehalose 6-phosphate phosphatase [EC:3.1.3.12]	Trehalolipid Biosynthesis (sdtA / otsA / otsB)	PASS	embedded ECs: 3.1.3.12
fengycin_iturin	KO	K15666	EXISTS	ppsC, fenE; plipastatin/fengycin lipopeptide synthetase C	Fengycin / Iturin / Viscosin NRPS (fenA-E / ituA-C / vsnA-C)	PASS	-
fengycin_iturin	KO	K15667	EXISTS	ppsD, fenA; plipastatin/fengycin lipopeptide synthetase D	Fengycin / Iturin / Viscosin NRPS (fenA-E / ituA-C / vsnA-C)	PASS	-
fengycin_iturin	KO	K15668	EXISTS	ppsE, fenB; plipastatin/fengycin lipopeptide synthetase E	Fengycin / Iturin / Viscosin NRPS (fenA-E / ituA-C / vsnA-C)	PASS	-
mycA_C	KO	K15661	EXISTS	ituA, mycA, bmyA; iturin family lipopeptide synthetase A	Mycosubtilin Lipopeptide Synthetase (mycA / mycB / mycC)	PASS	-
arfA_C	KO	K15658	EXISTS	ofaA, arfA; arthrofactin-type cyclic lipopeptide synthetase A	Arthrofactin Lipopeptide Synthetase (arfA / arfB / arfC)	PASS	-
wza_wzb_wzc	KO	K01991	EXISTS	wza, gfcE; polysaccharide biosynthesis/export protein	Polymeric Bio-emulsifier Secretion (wza / wzb / wzc / EPS)	PASS	-
meor_acid_gas	KO	K00656	EXISTS	E2.3.1.54, pflD; formate C-acetyltransferase [EC:2.3.1.54]	MEOR Organic Acid & Gas Drivers (pflB / ackA / pta / ca)	PASS	embedded ECs: 2.3.1.54
meor_acid_gas	KO	K00925	EXISTS	ackA; acetate kinase [EC:2.7.2.1]	MEOR Organic Acid & Gas Drivers (pflB / ackA / pta / ca)	PASS	embedded ECs: 2.7.2.1
meor_acid_gas	KO	K00625	EXISTS	pta; phosphate acetyltransferase [EC:2.3.1.8]	MEOR Organic Acid & Gas Drivers (pflB / ackA / pta / ca)	PASS	embedded ECs: 2.3.1.8
meor_acid_gas	KO	K01672	EXISTS	CA; carbonic anhydrase [EC:4.2.1.1]	MEOR Organic Acid & Gas Drivers (pflB / ackA / pta / ca)	PASS	embedded ECs: 4.2.1.1
meor_acid_gas	KO	K01673	EXISTS	cynT, can; carbonic anhydrase [EC:4.2.1.1]	MEOR Organic Acid & Gas Drivers (pflB / ackA / pta / ca)	PASS	embedded ECs: 4.2.1.1
etnE	KO	K22363	EXISTS	etnE; 2-hydroxypropyl-CoM lyase [EC:4.4.1.23]	Epoxyalkane:CoM Transferase (etnE / Ethene pathway)	REVIEW	embedded ECs: 4.4.1.23; KO/EC contradiction
