marker_id	identifier_type	identifier	reference_status	reference_name	catalog_interpretation	audit_status	notes
ndo_nah	EC	1.14.12.12	EXISTS	naphthalene 1,2-dioxygenase	Naphthalene / PAH Dioxygenase (ndoABC / nahAcAb / phnAc)	PASS	-
ndo_nah	EC	1.14.12.18	EXISTS	biphenyl 2,3-dioxygenase	Naphthalene / PAH Dioxygenase (ndoABC / nahAcAb / phnAc)	PASS	-
catA_xylE	EC	1.13.11.1	EXISTS	catechol 1,2-dioxygenase	Central Ring-Cleavage Dioxygenases (catA / xylE)	PASS	-
catA_xylE	EC	1.13.11.2	EXISTS	catechol 2,3-dioxygenase	Central Ring-Cleavage Dioxygenases (catA / xylE)	PASS	-
mahAB	EC	1.14.12.-	WILDCARD	With NADH or NADPH as one donor, and incorporation of two atoms of oxygen into the other donor	Benzene / Toluene / Naphthalene Dioxygenase (mahA / mahB)	NONSPECIFIC	wildcard EC is broad contextual evidence
dmpO_tomA	EC	1.14.13.7	EXISTS	phenol 2-monooxygenase (NADPH)	Phenol / Toluene 2-Monooxygenase (dmpO / tomA1-A4)	PASS	-
dszC	EC	1.14.14.21	EXISTS	dibenzothiophene monooxygenase	Dibenzothiophene Monooxygenase (dszC / Biodesulfurization)	PASS	-
pcaGH	EC	1.13.11.3	EXISTS	protocatechuate 3,4-dioxygenase	Protocatechuate 3,4-Dioxygenase (pcaG / pcaH)	PASS	-
assA_masD	EC	4.1.99.16	EXISTS	geosmin synthase	Alkylsuccinate Synthase / MasD (assA / masD)	PASS	-
bssABC	EC	4.1.99.11	EXISTS	benzylsuccinate synthase	Benzylsuccinate Synthase (bssA / bssB / bssC)	PASS	-
nmsA	EC	4.1.99.-	WILDCARD	Other carbon-carbon lyases	Naphthylmethylsuccinate Synthase (nmsA)	NONSPECIFIC	wildcard EC is broad contextual evidence
cmdA_ebdA	EC	1.17.99.2	EXISTS	ethylbenzene hydroxylase	Ethylbenzene Dehydrogenase Subunit Alpha (cmdA / ebdA)	PASS	-
abcA	EC	4.1.1.-	WILDCARD	Carboxy-lyases	Anaerobic Benzene Carboxylase Subunit A (abcA1 / abcA2)	NONSPECIFIC	wildcard EC is broad contextual evidence; shared across markers: abcA, ncrA
ncrA	EC	4.1.1.-	WILDCARD	Carboxy-lyases	Naphthalene Carboxylase (ncrA)	NONSPECIFIC	wildcard EC is broad contextual evidence; shared across markers: abcA, ncrA
rhlA	EC	2.3.1.266	EXISTS	[ribosomal protein bS18]-alanine N-acetyltransferase	HAA Synthase (rhlA / Rhamnolipid precursor)	PASS	-
rhlB	EC	2.4.1.189	EXISTS	luteolin 7-O-glucuronosyltransferase	Rhamnosyltransferase I (rhlB / Mono-rhamnolipid)	PASS	-
rhlC	EC	2.4.1.298	EXISTS	anthocyanidin 3-O-glucoside 5-O-glucosyltransferase	Rhamnosyltransferase II (rhlC / Di-rhamnolipid)	PASS	-
rhlRI	EC	2.3.1.184	EXISTS	acyl-homoserine-lactone synthase	Rhamnolipid Quorum Sensing Regulators (rhlR / rhlI)	PASS	-
trehalolipid	EC	2.4.1.15	EXISTS	alpha,alpha-trehalose-phosphate synthase (UDP-forming)	Trehalolipid Biosynthesis (sdtA / otsA / otsB)	PASS	-
trehalolipid	EC	3.1.3.12	EXISTS	trehalose-phosphatase	Trehalolipid Biosynthesis (sdtA / otsA / otsB)	PASS	-
emt1	EC	2.4.1.-	WILDCARD	Hexosyltransferases	Mannosylerythritol Lipid (MEL) Biosynthesis (emt1)	NONSPECIFIC	wildcard EC is broad contextual evidence; shared across markers: emt1, sble
sble	EC	2.4.1.-	WILDCARD	Hexosyltransferases	Sophorolipid Biosynthesis (sble / glucosyltransferase)	NONSPECIFIC	wildcard EC is broad contextual evidence; shared across markers: emt1, sble
sble	EC	2.3.1.-	WILDCARD	Transferring groups other than aminoacyl groups	Sophorolipid Biosynthesis (sble / glucosyltransferase)	NONSPECIFIC	wildcard EC is broad contextual evidence
srfA	EC	2.7.7.-	WILDCARD	Nucleotidyltransferases	Surfactin Synthetase NRPS (srfA-A / srfA-B / srfA-C / srfAD)	NONSPECIFIC	wildcard EC is broad contextual evidence; shared across markers: srfA, licA_D, fengycin_iturin, mycA_C, arfA_C, pswP
srfA	EC	6.3.2.-	WILDCARD	Acid—amino-acid ligases (peptide synthases)	Surfactin Synthetase NRPS (srfA-A / srfA-B / srfA-C / srfAD)	NONSPECIFIC	wildcard EC is broad contextual evidence
licA_D	EC	2.7.7.-	WILDCARD	Nucleotidyltransferases	Lichenysin Synthetase NRPS (licA / licB / licC / licD)	NONSPECIFIC	wildcard EC is broad contextual evidence; shared across markers: srfA, licA_D, fengycin_iturin, mycA_C, arfA_C, pswP
fengycin_iturin	EC	2.7.7.-	WILDCARD	Nucleotidyltransferases	Fengycin / Iturin / Viscosin NRPS (fenA-E / ituA-C / vsnA-C)	NONSPECIFIC	wildcard EC is broad contextual evidence; shared across markers: srfA, licA_D, fengycin_iturin, mycA_C, arfA_C, pswP
mycA_C	EC	2.7.7.-	WILDCARD	Nucleotidyltransferases	Mycosubtilin Lipopeptide Synthetase (mycA / mycB / mycC)	NONSPECIFIC	wildcard EC is broad contextual evidence; shared across markers: srfA, licA_D, fengycin_iturin, mycA_C, arfA_C, pswP
arfA_C	EC	2.7.7.-	WILDCARD	Nucleotidyltransferases	Arthrofactin Lipopeptide Synthetase (arfA / arfB / arfC)	NONSPECIFIC	wildcard EC is broad contextual evidence; shared across markers: srfA, licA_D, fengycin_iturin, mycA_C, arfA_C, pswP
pswP	EC	2.7.7.-	WILDCARD	Nucleotidyltransferases	Serrawettin Lipopeptide Synthetase (pswP)	NONSPECIFIC	wildcard EC is broad contextual evidence; shared across markers: srfA, licA_D, fengycin_iturin, mycA_C, arfA_C, pswP
sfp	EC	2.7.8.7	EXISTS	holo-[acyl-carrier-protein] synthase	4'-Phosphopantetheinyl Transferase (sfp / NRPS activator)	PASS	-
wza_wzb_wzc	EC	3.1.3.-	WILDCARD	Phosphoric-monoester hydrolases	Polymeric Bio-emulsifier Secretion (wza / wzb / wzc / EPS)	NONSPECIFIC	wildcard EC is broad contextual evidence
meor_acid_gas	EC	2.3.1.54	EXISTS	formate C-acetyltransferase	MEOR Organic Acid & Gas Drivers (pflB / ackA / pta / ca)	PASS	-
meor_acid_gas	EC	2.7.2.1	EXISTS	acetate kinase	MEOR Organic Acid & Gas Drivers (pflB / ackA / pta / ca)	PASS	-
meor_acid_gas	EC	2.3.1.8	EXISTS	phosphate acetyltransferase	MEOR Organic Acid & Gas Drivers (pflB / ackA / pta / ca)	PASS	-
meor_acid_gas	EC	4.2.1.1	EXISTS	carbonic anhydrase	MEOR Organic Acid & Gas Drivers (pflB / ackA / pta / ca)	PASS	-
isoA_I	EC	1.14.13.-	WILDCARD	With NADH or NADPH as one donor, and incorporation of one atom of oxygen into the other donor	Isoprene Monooxygenase (isoA-I / Isoprene degradation)	NONSPECIFIC	wildcard EC is broad contextual evidence; shared across markers: prmABCD, pbmoABC, sbmoXYZ, tmo_tod, isoA_I, xamo_xec
xamo_xec	EC	1.14.13.-	WILDCARD	With NADH or NADPH as one donor, and incorporation of one atom of oxygen into the other donor	Alkene / Ethene Monooxygenase (xamoA-F / xecA-E)	NONSPECIFIC	wildcard EC is broad contextual evidence; shared across markers: prmABCD, pbmoABC, sbmoXYZ, tmo_tod, isoA_I, xamo_xec
etnE	EC	2.5.1.56	EXISTS	N-acetylneuraminate synthase	Epoxyalkane:CoM Transferase (etnE / Ethene pathway)	PASS	-
